"location","loc","ruRES","urbRES","totRES","intURB","intURB_IND","grass","greenery","paved","roofs","impervious","nodev","trees","sqrt_traffic","sqrt_popn","no2","pm25_na","partSA","sqrt_slope","sqrt_CO2_res","sqrt_CO2_com","sqrt_CO2_road","sqrt_CO2_nonroad","sqrt_CO2_almostTotal","sqrt_CO2_transport","devAge2","roof_intURB","roof_urbRES","roof_intURB_IND","roof_totRES"
"KICLDRS8D_OUT","KIC_LDR",2.19903680403551,0.259251961379434,2.09601120523805,-0.79737874947848,-1.02000120207967,0.963333345069367,1.17624376926268,-0.82307760984204,0.0783472083061188,-0.718251657031565,1.05500871793917,1.09118290272684,-0.65811574255787,-0.693424151212006,1.61342785430384,-0.767476510273592,-0.573475829091006,0.690413454964674,-0.132866954139717,-0.983592061491751,-1.09277058867232,-0.601771217860008,-1.24928461056925,-1.33112974377343,-1.30749672658205,-0.682809157541267,-0.42487654407154,-0.81449050956481,1.18829056513712
"KICHDRS8D_OUT","KIC_HDR",-0.3985418235531,1.20781296446469,0.379716091264953,-0.79737874947848,-1.02000120207967,1.9301427908686,1.55061533133208,-1.16963922404336,-0.637480241852182,-1.32670464981186,-0.0279326170453401,-0.359421268289408,-1.15375767999542,-0.342333383218035,-1.74561609587762,-0.91108166792913,-1.4459267105921,-0.920613442089723,-0.581752343655269,-0.836773392104825,-0.546306436544247,-1.13024643454754,-0.875508889161834,-0.753934910144348,0.256711359572499,-0.682809157541267,-0.0842575533264984,-0.81449050956481,-0.374128013181104
"SEAI1S8D_OUT","SEA_IND",-0.3985418235531,1.16337539047496,0.352816022776866,-0.218601839309943,-0.0833365572289226,-0.400853403348062,0.193088782468532,-0.554431984538927,-0.975191920715827,-0.903933891945923,1.65569904922943,1.70226710521636,1.19199752513185,-0.657002819881541,1.68645047948546,1.169914932449,0.029080013479415,2.2098220698311,-0.00319155279093398,-0.183752313265998,1.67659801299331,-0.238981174583066,1.31361910096117,1.62496707365913,-1.29913099552905,-0.511404098974916,-0.231077668571416,-0.303740389278761,-0.500552727544783
"SNO_COM","SNO_COM",-0.3985418235531,-0.836805113961114,-0.857983481496418,1.56905387265814,1.40091192212734,-0.437886917903241,-0.589327054073054,-0.0969136500825261,1.13080179118068,0.373799365545751,-0.613050973130958,-0.666301729480037,0.800393773982405,1.43178944165362,-0.492059869595471,-0.914686690321178,-0.309857797612839,0.00979647947333107,1.44732572312642,0.746479819779938,-0.0959604591412045,1.63911669529426,0.172056092614845,-0.278263504270034,-0.346685747296552,1.61129495363286,-0.615270180614579,1.54379168819403,-0.83137543882448
"SNO_LDR","SNO_LDR",2.51241582847485,-0.836805113961114,1.70885084768874,-0.79737874947848,-1.02000120207967,1.52138653576166,1.3939156036858,-1.116067224478,-1.0193917300993,-1.43395248411461,2.38462455120743,0.258865909928174,-1.04523725597568,-0.982547394221052,-0.453802775414371,-1.20148517570176,-0.0443772942924787,0.0307241308834549,-0.791786644685562,-0.954636410739246,-1.16236642841583,-1.11651983718707,-1.45768346401505,-1.40164221805444,-2.00309107971413,-0.682809157541267,-0.615270180614579,-0.81449050956481,1.37896665224976
"SEAC1S8D_OUT","SEA_COM",-0.3985418235531,-0.703889289332941,-0.777523535900038,1.41222166564689,1.24046909155603,-0.731614863480777,-0.816215362327549,0.101131211977363,2.06038729238608,0.934232355367317,-0.649167771482555,-0.582705227284176,1.35218737023249,2.45650822026372,0.724985044095871,0.185346468006943,2.42675032659296,0.170378478019342,1.97030272209908,2.45620317560812,2.05861535024942,2.05202583791587,2.27028794892252,1.99747593993601,0.905031968202476,2.13178981750139,-0.292838362643721,2.07884751478327,-0.553733983355465
"SEAR1S8D_OUT","SEA_HDR",-0.3985418235531,1.52810275717977,0.573601953757425,-0.435890446553477,-0.650190640556768,0.163866632020465,0.267152697442796,-0.728431298740988,0.384278711368528,-0.506948200772725,-0.74131346297993,0.39855650096971,0.178336604304082,0.649909441034926,0.0190990870080563,-0.331235463565426,-1.0756057777111,-0.0168802946452874,1.34346475106984,0.48176963649724,0.062111756874861,0.549494437568481,0.207896808889205,-0.11005698047816,1.07288701550846,-0.330435478100322,2.47864883220941,-0.452259095943807,1.83275424673077
"POT564S8D_OUT","POT_COM",-0.3985418235531,-0.836805113961114,-0.857983481496418,-0.79737874947848,0.539049599070114,-1.45066663041434,-1.50958977767955,1.9261546045125,-1.65361202244227,1.07996892900375,0.182316205003106,-0.813437033245738,-1.25307087557243,-1.45313134182766,0.299019440370347,0.632050893372412,0.575146141056378,-1.3784799796822,-1.37658604569622,-0.203674388878007,-1.35378621211549,-0.21147510054906,0.38508189568635,0.668202793461479,-0.112534314205546,-0.682809157541267,-0.615270180614579,-0.504462412763793,-0.83137543882448
"PIECOMM_OUT","PIE_COM",-0.3985418235531,-0.836805113961114,-0.857983481496418,1.56905387265814,1.40091192212734,-0.49431384745212,-0.629549346071931,0.323527896028955,0.611176118849057,0.544687458932628,-0.74131346297993,-0.639624105080203,-0.519441608387177,-0.0176625933562341,-0.199969078702896,0.549644989027246,0.204825687043832,0.728688851917926,-0.469017173420172,-0.483057220710154,0.593175976664267,-0.425362964546295,0.212041315364943,0.449626859376829,0.39933243126494,1.25070987718149,-0.615270180614579,1.17311916185539,-0.83137543882448
"SNO_HDR","SNO_HDR",-0.3985418235531,0.714605074262435,0.0811551025761233,-0.79737874947848,-1.02000120207967,-0.00120349916791419,0.693383649268792,-0.73219356478851,0.21090191571812,-0.581233954154985,-0.348671377619385,2.19319760808535,-0.699148975269696,0.292211606279772,-0.406866516717468,-1.20631829085969,-0.0462392872662128,-1.01046228389685,0.224242030402651,-0.617843301754013,-0.556318993584925,-0.499786112454613,-0.704233384781915,-0.764510528275546,-0.689377316815397,-0.682809157541267,1.51406848428939,-0.81449050956481,1.00216781950191
