system:index,AU_ID,devAge2,grass,paved,pm25_na,sqrt_CO2_road,traffic,.geo
00000000000000000815,10014,-3.186779260635376,-1.449324394261413,-1.9094364669282593,-5.343601403831197,-1.9948909132325845,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000816,10053,-3.186779260635376,-1.4648433699171,-1.9115955829620361,-5.567682029431148,-2.08354845619929,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000817,10052,-3.186779260635376,-1.466916183828494,-1.9115955829620361,-6.230067165224724,-2.0847047951651767,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000818,10064,-3.186779260635376,-1.4526214987045025,-1.899843980100342,-5.564561872040128,-2.0159050341316416,-1.168626739040867,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000819,10081,-3.186350591020328,-1.455964831389791,-1.8952175074703954,-6.4632393733375295,-2.052456103113833,-1.1730392894432642,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081a,10055,-3.186779260635376,-1.4639171782120732,-1.8942848453452865,-5.840745761901008,-2.002319767664468,-1.1608365162241594,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081b,10082,-3.186779260635376,-1.4641350048156763,-1.909529469452912,-6.020897671652137,-2.0370218896722045,-1.1714752198536122,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081c,10033,-3.186779260635376,-1.4569781175326366,-1.8958000065450495,-5.638414888710094,-1.9997945512796542,-1.1557908817315885,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081d,10035,-3.186779260635376,-1.469247089506626,-1.9115955829620361,-6.500120878194974,-2.036150495775483,-1.176340026526532,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081e,10031,-3.186454255389811,-1.4638400917143568,-1.9115955829620361,-6.484174241812647,-2.0866842545804984,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081f,10028,-3.186779260635376,-1.443922341423373,-1.9115955829620361,-5.448661733249644,-1.9932893908228233,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000820,10065,-3.186779260635376,-1.4334282195228154,-1.897611346660388,-5.133205099629379,-1.9721954568820632,-1.1645565786291896,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000821,10021,-3.186779260635376,-1.4424915130476719,-1.9115955829620361,-4.826567729276606,-2.0097041549559798,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000822,10027,-3.186779260635376,-1.4601527725337304,-1.9115955829620361,-6.038751592147509,-1.985611660616168,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000823,10063,-3.1864612127566123,-1.4506366425464938,-1.9115955829620361,-5.714572151498454,-1.956180281447093,-1.1771196126937866,"{""type"":""MultiPoint"",""coordinates"":[]}"
