"Location_N","COM","CO_emissions_commercial","CO_emissions_nonroad","CO_emissions_onroad","CO_emissions_residential","CO_emissions_total","IND","NO_2","PM25_NA","RES","ROW","RURES","dev_1975_1990","dev_1990_2000","dev_2000_2014","dev_pre_1975","grass_low_veg","imperv_ground","imperv_roofs","no_dev","particulate_surface_area","percent_tree_cover","pm25","pop_per_ha","roof_COM","roof_IND","roof_RES","slope","traffic"
"KICLDRS8D_OUT",0,26.5045852661133,90.2198257446289,360.449798583984,234.263641357422,711.437866210938,0,5.09999990463257,5.2,0.185899367279301,0.172341066586321,0.641759566134378,0.261524555589033,0.380084362759867,0,0.156221753540223,0.495329918650196,0.218137993371497,0.202470623681832,0.202169328110877,96.4000015258789,14.2432961735463,4.80000019073486,5.03662427056801,0,0,0.00708044591744501,3.91978464836679,144.421813799337
"KICHDRS8D_OUT",0,46.1852654089522,31.204284700169,968.317914975915,110.575609600499,1156.2830467298,0,2.33999991416931,5.1,0.346782312398358,0.36149616665376,0,0.0179663904592271,0.0976535274529544,0,0.730426701773406,0.692170680709363,0.148687369317742,0.138155347324402,0.153953380314412,82.5,3.395260590103,4.81191840131564,9.88438166764958,0,0,0.0197475412375126,0.725181241318956,16.5622241152327
"SEAI1S8D_OUT",0.244577810817181,199.506778786746,148.453929190611,6475.33860736695,278.538590846688,7207.10125848066,0.142327706561746,5.15999984741211,6.54910993055679,0.33924537196526,0.234500389824669,0,0.0569941798270266,0.0209091073921636,0.023795623084873,0.447605751273729,0.217583812303954,0.271974325965949,0.107812811633093,0.450695338422207,106,18.813159755589,6.32297255827799,5.46425855245178,0.0221928090947002,0.0421373270719634,0.0142875274237122,9.2656278660888,1737.65156564466
"PIEHIRES_OUT",0.0102899589004939,35.1261750720762,165.352399680127,327.655200475391,145.492730695803,673.626495904916,0,3.60999989509583,5.13107631688082,0.84876324422156,0.105701142490856,0,0.0425266769729648,0.237856792730289,0.0999000791825345,0.0681554240036197,0.397713132988952,0.107609064514913,0.102607367746314,0.551561027110591,108.800003051758,18.1882640171939,4.83261312272707,9.98346499966541,0.00192300441159836,0,0.0862052712944459,2.02345713698065,23.9406847403944
"PIELORES_OUT",0,11.2656841649366,23.5016836851758,151.956151557664,48.2298332394753,234.953350902519,0,3.34999990463257,5.5,0,0,1,0.0104209412947861,0.0435159550795587,0.0398689146153268,0.00442153083223036,0.17236456533173,0.0440303553986025,0.0202292260298121,0.901772658178098,74.0999984741211,61.1341428876931,5.24815306461801,2.81318185901685,0,0,0,6.20580855656675,17.3773039643503
"SNO_COM",1,603.413603903582,680.575026007025,1690.53669019558,1034.80242635622,4009.32768816081,0,3.36999988555908,5.09748962888875,0,0,0,0.719474017481462,0.0624219577580646,0,0.192917463116719,0.210043851602862,0.363660573207322,0.29703099201676,0.0251865616437546,100.599998474121,1.10032015812616,5.1452060747525,59.1405674074785,0.29703099201676,0,0,2.25955114718863,1253.55411619195
"SNO_LDR",0,29.9561737615064,32.3499122987636,304.167118779716,68.4617215752803,437.136323227442,0,3.4014342999761,4.89777640823374,0,0.142462714162455,0.719183203911418,0.1063560540696,0.154509223879371,0.124746291959407,0.0666748839311394,0.608948601010724,0.15942314803402,0.103841571140967,0.547713546160484,104.82966856729,8.01899009819632,4.64032609157405,2.26002683536381,0,0,0,2.30382868885383,33.7544270512347
"SEAC1S8D_OUT",0.93372631633617,1914.26633997658,849.409042165875,7912.24908798513,1425.00034896545,12102.0052147086,0,4.36999988555908,5.86350192001185,0.022543504581736,0.0437301790820947,0,0.0170188041068455,0,0,0.952222052708629,0.150241340470216,0.40334857873672,0.380551885766593,0.0307591431845256,144.199996948242,1.72547886688458,6.66402817630261,106.424458199649,0.364422487024095,0,0.0119907423937988,2.61030091012192,1958.4059323987
"POSOUTFALL_60",0.846952727272727,264.803378316762,98.1925358691407,338.495529939631,244.93812981179,1123.56704579545,0,3.6800000667572,6.2,0,0,0,0.0624,0,0,0.936290909090909,0.0327272727272727,0.878341818181818,0.0396509090909091,0.00130909090909091,101.099998474121,0,6.76682191103849,10.3020219100139,0.0396509090909091,0,0,2.96291644286135,0
"SEAR1S8D_OUT",0.152756642865504,466.287622506587,324.767150112347,1991.44128078901,964.724596339295,3749.55702129381,0,3.78999996185303,5.50377811899665,0.40110582451405,0.446137532620446,0,0,0.00307096969655239,0,0.996929030303448,0.332559852923963,0.237105025786505,0.229957791380628,0,88.4000015258789,9.06363655142497,6.38450805500213,32.3380307161389,0.0456238681824128,0,0.115058079886526,2.20373281082114,646.712203317473
"POT564S8D_OUT",0,193.240741398229,153.45749441086,173.991732390449,4.13554636414905,4073.08975897142,0.643992874242633,4.01999998092651,6.17456625269896,0,0.0286918926644514,0,0.0849731252775524,0.0156194968071911,0.0035832963263556,0.733907069098408,0.00384362127314212,0.769081563378916,0.0468584904215733,0.0192283151871532,114.699996948242,0,6.70039846526322,0.0884619478567233,0,0.0390487420179777,0,0.281868443595048,6.13617036481224
"PIECOMM_OUT",1,115.899292798912,116.734456900905,3182.76036525222,137.323754623251,3552.71787360329,0,3.60999989509583,6.11718258647798,0,0,0,0.201012185534591,0.172857704402516,0.0386202830188679,0.586183176100629,0.198555424528302,0.447916666666667,0.25034394654088,0.00132665094339623,108.800003051758,1.29982311320755,5.5344338945857,15.8081091679467,0.25034394654088,0,0,4.02664601989767,202.814023191824
"SNO_HDR",0,85.6176147460938,105.132484436035,954.532775878906,365.439880371094,1510.72277832031,0,3.44000005722046,4.89441085003455,0.263130615065653,0.673347155033402,0,0.93953006219765,0.0146855563234278,0.00598940336328035,0,0.298951854411426,0.236351071181755,0.214380327113568,0.0397949781156416,104.800003051758,22.4844793826307,4.90000009536743,22.7531038246128,0,0,0.0791868233126008,0.621970202507,129.039881363741
"KICCOMS8D_OUT",0.0943047716777835,47.8627460008037,32.1634761354261,987.453247984743,113.649070195628,1181.1285078586,0,2.33999991416931,5.1,0.0296562339661365,0.177424320164187,0,0,0.0570548999486916,0,0.777424320164186,0.206772703950744,0.632939969214982,0.134222678296562,0.165520779887122,82.5,0.424422780913289,4.80000019073486,12.6300327592138,0.00236018471010775,0,0,0.591855204110836,1085.1442791175
"TAC001S8D_OF235",0.940969430597989,1081.817174792,475.211101150683,2483.23050205016,248.723693131594,4331.50299737567,0,4.01999998092651,6.64115702774658,0.0055278626431545,0.0399170999267478,0.0103875221096639,0.0421503993139305,0.0089331975487306,0.000911186149970521,0.899122760000716,0.269832591877937,0.505626127816191,0.205545729038252,0.0475031712851298,114.699996948242,0.281299244251488,6.30900010175587,11.736958847639,0.198481356416716,0,0.00222615282914367,5.06387330976632,1755.53242929374
"TAC003S8D_OF245",0.171248323783981,269.122849418959,187.753117959063,2751.2912475705,9.25880267482611,3547.77601224162,0.390451664025357,4.01999998092651,6.8,0,0.433819943922955,0,0.0211203218334756,0,0,0.978879678166524,0.0273527977569182,0.687842862367427,0.282747165671096,0,114.699996948242,0,6.54433129991422,8.48489791238809,0.0329452639278313,0.115506522004145,0,0.685269644553045,36.999100938681
"TFWFD1",0.179771590036637,225.899549662764,210.783966645472,2355.74552791602,400.963889100876,3198.3696292895,0.00448058294930465,3.85886394397092,6.34312006413779,0.393105411781805,0.414458241086038,0.00716595459795071,0.0108177264905644,0.0281923818475191,0.0128565480838472,0.809314192354449,0.476569335718214,0.281052420289104,0.142119207033607,0.138819151223621,114.384043928696,4.31346152357094,5.72755607934966,19.7003264002617,0.0243008712194989,0.00182261001327647,0.0707559840873043,3.16233232112032,1468.25862091558
