Band Value,intercept Count,devAge2 Count,grass Count,paved Count,pm25_na Count,sqrt_CO2_road Count,sqrt_traffic Count
0.09,,,,,,45930.35,
0.13,,79749.95,,,195969.19,47657.55,
0.16,,,,,,46684.07,
0.19,,,,,148176.62,40278.89,
0.22,,,,,,34369.06,
0.25,,,,,191821.44,34532.00,
0.28,,,,,,34469.24,
0.31,,,,,143706.67,35483.08,
0.34,,,,,,35924.49,
0.38,,,,,194821.78,32034.38,
0.41,,,,,,30422.00,
0.44,,,,,159237.66,24222.78,
0.47,,,,,,28824.68,
0.50,,,,,152775.44,27321.93,142960.88
0.53,,,,,,21753.33,
0.56,,,,1146878.44,220319.73,25197.53,
0.59,,,,,,23503.06,
0.63,,,,,136651.05,23605.00,
0.66,,,,,,20554.00,
0.69,,,,,137225.51,20066.83,
0.72,,,,,,17857.00,
0.75,,,,,104183.58,17745.86,
0.78,,,,,,21206.00,
0.81,,,,,138290.89,20359.36,
0.84,,,,,,16792.24,
0.88,,,,,95788.91,14654.14,
0.91,,,,,,15541.00,
0.94,,,,,102249.90,15001.66,
0.97,,,2730982.47,,,14379.31,
1.00,58968677.65,,,,98866.34,12215.00,81901.97
1.03,,,,,,12822.00,
1.06,,2187573.01,,,58172.81,14725.00,
1.09,,,,,,14083.00,
1.13,,,,,57537.84,13473.25,
1.16,,,,,,12260.00,
1.19,,,,,39346.32,9632.00,
1.22,,,,,,10662.00,
1.25,,,,,37817.60,10176.47,
1.28,,,,,,9517.00,
1.31,,,,,38197.79,11057.00,
1.34,,,,,,11532.00,
1.38,,,,,35344.37,9628.00,
1.41,,,,,,9788.00,
1.44,,,,,31354.78,9448.00,
1.47,,,,,,8277.55,
1.50,,,,,29926.46,4974.00,53293.86
1.53,,,,,,9010.00,
1.56,,,,,32641.77,7583.00,
1.59,,,,,,7561.00,
1.63,,,,,23580.55,7403.00,
1.66,,,,,,5442.00,
1.69,,,,,32026.60,9258.05,
1.72,,,,,,5327.00,
1.75,,,,,3532.93,4010.00,
1.78,,,,,,6461.00,
1.81,,,,350106.83,3333.00,5340.00,
1.84,,,,,,6265.00,
1.88,,,,,3315.00,5542.00,
1.91,,,,,,3550.00,
1.94,,,,,1395.00,4580.00,
1.97,,,,,,4179.00,
2.00,,,,,272.00,5378.00,40994.45
2.03,,,,,,3556.00,
2.06,,,,,,2897.00,
2.09,,,,,,3749.00,
2.13,,,,,,3731.00,
2.16,,,,,,2674.00,
2.19,,,1284149.53,,,1938.00,
2.22,,,,,,3011.00,
2.25,,,,,,4295.00,
2.28,,,,,,2996.00,
2.31,,,,,,2529.00,
2.34,,,,,,2388.00,
2.38,,,,,,2259.00,
2.41,,,,,,3168.00,
2.44,,,,,,1136.00,
2.47,,,,,,593.00,
2.50,,,,,,1410.00,34239.15
2.53,,,,,,1890.00,
2.56,,,,,,1362.00,
2.59,,,,,,1075.00,
2.63,,,,,,1378.00,
2.66,,,,,,304.00,
2.69,,,,,,817.00,
2.72,,,,,,1345.00,
2.75,,,,,,561.00,
2.78,,,,,,816.00,
2.81,,,,,,272.00,
2.84,,,,,,1314.00,
2.88,,,,,,321.00,
2.91,,,,,,528.00,
2.94,,,,,,16.00,
2.97,,,,,,800.00,
3.00,,,,,,272.00,29636.50
3.03,,,,,,272.00,
3.06,,,,557677.81,,272.00,
3.09,,,,,,1.00,
3.13,,,,,,,
3.16,,,,,,32.00,
3.19,,,,,,528.00,
3.22,,,,,,16.00,
