AG,CO_emissions_cmv,CO_emissions_commercial,CO_emissions_industrial,CO_emissions_nonroad,CO_emissions_onroad,CO_emissions_rail,CO_emissions_residential,CO_emissions_total,IND,Location_N,NO_2,OPEN,PM25_NA,PUBLIC,WATER,dev_1975_1990,dev_1990_2000,dev_2000_2014,dev_pre_1975,grass_low_veg,imperv_ground,imperv_roofs,impervious,intURB,no_dev,particulate_surface_area,percent_tree_cover,pm25,pop_per_ha,roof_AG,roof_IND,roof_intURB,roof_ruRES,roof_urbRES,ruRES,shrub_med_veg,slope,traffic,urbRES,,sqrt_traffic,,sqrt_traffic
0,3547.527225,193.2407414,0,153.4574944,173.9917324,0.737058707,4.135546364,4073.089759,0.643992874,POT564S8D_OUT,4.019999981,0,6.174566253,0,0.327315233,0.087668254,0.003904874,0.003986545,0.7410022,0.003843621,0.769081563,0.04685849,0.815940054,0,0.159722116,114.6999969,0,6.700398465,0.088461948,0,0.039048742,0,0,0,0,0,0.281868444,6.136170365,0,,2.477129461,,2.477129461
0,0,115.8992928,0,116.7344569,3182.760365,0,137.3237546,3552.717874,0,PIECOMM_OUT,3.609999895,0,6.117182586,0,0,0.41396423,0,0,0.58603577,0.198555425,0.447916667,0.250343947,0.698260613,1,0,108.8000031,1.299823113,5.534433895,15.80810917,0,0,0.250343947,0,0,0,0,4.02664602,202.8140232,0,,14.24127885,,14.24127885
0,0,85.61761475,0,105.1324844,954.5327759,0,365.4398804,1510.722778,0,SNO_HDR,3.440000057,0,4.89441085,0,0,0.932100898,0,0,0,0.298951854,0.236351071,0.214380327,0.450731398,0,0.067899102,104.8000031,22.48447938,4.900000095,22.75310382,0,0,0,0,0.079186823,0,0,0.621970203,129.0398814,0.263130615,,11.35957224,,11.35957224
0,0,47.862746,0,32.16347614,987.453248,0,113.6490702,1181.128508,0,KICCOMS8D_OUT,2.339999914,0,5.1,0,0.014776809,0,0,0,0.980605439,0.206772704,0.632939969,0.134222678,0.767162648,0.094304772,0.019394561,82.5,0.424422781,4.800000191,12.63003276,0,0,0.002360185,0,0,0,0,0.591855204,1085.144279,0.029656234,,32.94152818,,32.94152818
0,0,1081.817175,0,475.2111012,2483.230502,38.75053936,248.7236931,4331.502997,0,TAC001S8D_OF235,4.019999981,0,6.641157028,0,0.003198085,0.066220007,0,0,0.92106984,0.269832592,0.505626128,0.205545729,0.711171857,0.940969431,0.012399278,114.6999969,0.281299244,6.309000102,11.73695885,0,0,0.198481356,0.00483822,0.002226153,0.010387522,0,5.06387331,1755.532429,0.005527863,,41.89907433,,41.89907432
0,14.25282564,269.1228494,0,187.753118,2751.291248,316.0969977,9.258802675,3547.776012,0.390451664,TAC003S8D_OF245,4.019999981,0,6.8,0,0.004480068,0.032320493,0,0,0.967679507,0.027352798,0.687842862,0.282747166,0.970590028,0.171248324,0,114.6999969,0,6.5443313,8.484897912,0,0.115506522,0.032945264,0,0,0,0,0.685269645,36.99910094,0,,6.082688627,,6.082688628
0,0,225.8995497,0,210.7839666,2355.745528,4.976769345,400.9638891,3198.369629,0.004480583,TFWFD1,3.858863944,0,6.343120064,0,2.98E-05,0.012459862,0.009398056,0.009568703,0.860458357,0.476569336,0.28105242,0.142119207,0.423171627,0.17977159,0.108115022,114.3840439,4.313461524,5.727556079,19.7003264,0,0.00182261,0.024300871,0.001898552,0.070755984,0.007165955,0.001594784,3.162332321,1468.258621,0.393105412,,38.31786295,,38.31786295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.57081115,,19.12075808
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.03555081,,16.39559231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.354738155,"highest traffic, scaled & centered value",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.252493766,"lowest traffic, scaled & centered value",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.05,the sqrt_traffic value for the max scaled & centered puget sound basin value (62),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034390.703,,
