system:index,devAge2,grass,huc12,paved,pm25_na,sqrt_CO2_road,sqrt_traffic,.geo
70,-3.181499126,-1.286464892,1.711E+11,-1.894023044,-3.475261014,-1.982495024,-1.170590975,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,-3.174466416,-0.543350537,1.711E+11,-1.868237876,-2.585341269,-1.953458566,-1.157517349,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,-3.09518766,1.405834022,1.711E+11,-1.715793447,-0.351414311,-1.600935483,-1.073196519,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,-3.147019778,-1.23433327,1.711E+11,-1.825826215,-2.575802235,-1.848695971,-1.141010689,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,-1.83372006,-0.346238219,1.711E+11,-0.901543984,-0.627693457,-0.627819237,-0.579580502,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,-3.186779261,-1.466814914,1.711E+11,-1.911595583,-4.309397401,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,-3.186779261,-1.451977378,1.711E+11,-1.911595583,-4.39650744,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,-3.186779261,-1.464012444,1.711E+11,-1.911595583,-4.093111945,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,-3.186779261,-1.463748377,1.711E+11,-1.908843922,-4.552910601,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,-3.186779261,-1.468077472,1.711E+11,-1.903372951,-4.353929925,-2.04406725,-1.170887309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,-3.186779261,-1.459025704,1.711E+11,-1.911595583,-4.122596479,-2.08477985,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,-3.186779261,-1.459492073,1.711E+11,-1.900609838,-4.214011706,-2.03504289,-1.170565683,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,-3.186623527,-1.447586842,1.711E+11,-1.911593235,-3.805807657,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
